name,content,content_breaks
tra_6,Sometimes I make changes around the house just to try something different.,"Sometimes I make changes
around the house just to try
something different."
tra_7,"On a vacation, I prefer going back to a tried and true spot.","On a vacation, I prefer going
back to a tried and true
spot."
tra_8,I follow the same route when I go someplace.,"I follow the same route when
I go someplace."
itg_1,I am often tempted to take things that do not belong to me.,"I am often tempted to take
things that do not belong to
me."
itg_2,I don't think there's anything wrong with cheating a little on one's income tax forms.,"I don't think there's
anything wrong with cheating
a little on one's income tax
forms."
itg_3,"When traveling, I would always declare everything at customs.","When traveling, I would
always declare everything at
customs."
itg_4,"If I found a wallet, I would not be tempted to keep any money.","If I found a wallet, I would
not be tempted to keep any
money."
itg_5,"If I could get away with it, I would leave a restaurant or bar without paying the bill.","If I could get away with it,
I would leave a restaurant or
bar without paying the bill."
itg_6,I would buy stolen merchandise if the price was right.,"I would buy stolen
merchandise if the price was
right."
itg_7,I would mislead people when it comes to my academic achievements.,"I would mislead people when
it comes to my academic
achievements."
itg_8,I think that there are circumstances when people are justified in cheating.,"I think that there are
circumstances when people are
justified in cheating."
itg_9,I have cheated on an exam in school.,"I have cheated on an exam in
school."
itg_10,"I have watched movies or listened to music online for free, even though I knew doing so violated copyright law.","I have watched movies or
listened to music online for
free, even though I knew
doing so violated copyright
law."
itg_11,Certain things that I have done would be considered illegal in some places.,"Certain things that I have
done would be considered
illegal in some places."
age,Please indicate your age,Please indicate your age
inc,About how much money do you have at your disposal each month?,"About how much money do you
have at your disposal each
month?"
